MessageSequence,SystemTimeSecs,SystemTimenSecs,TimeStampSecs,TimeStampnSecs
611,1348766509,415363073,1348766509,414221786
612,1348766509,481870889,1348766509,480811105
613,1348766509,548659086,1348766509,547486463
614,1348766509,615063905,1348766509,614223187
615,1348766509,681894063,1348766509,680810875
616,1348766509,748671054,1348766509,747423790
617,1348766509,815423965,1348766509,814275919
618,1348766509,881872892,1348766509,880842834
619,1348766509,948549985,1348766509,947435448
620,1348766510,14988899,1348766510,14245996
621,1348766510,81975936,1348766510,80810746
622,1348766510,148657083,1348766510,147462577
623,1348766510,215394020,1348766510,214279382
624,1348766510,281645059,1348766510,280813419
625,1348766510,348553895,1348766510,347403956
626,1348766510,415399074,1348766510,414274272
627,1348766510,481714010,1348766510,480818040
628,1348766510,548294067,1348766510,547437275
629,1348766510,615367889,1348766510,614192485
630,1348766510,681945085,1348766510,680810601
631,1348766510,748616933,1348766510,747438159
632,1348766510,815399885,1348766510,814212809
633,1348766510,881927967,1348766510,880816349
634,1348766510,948559999,1348766510,947410576
635,1348766511,15402078,1348766511,14185336
636,1348766511,82003116,1348766511,80838442
637,1348766511,148617029,1348766511,147438517
638,1348766511,215383052,1348766511,214207166
639,1348766511,281893968,1348766511,280810692
640,1348766511,348596096,1348766511,347413770
641,1348766511,415522098,1348766511,414349277
642,1348766511,481899023,1348766511,480809367
643,1348766511,548274993,1348766511,547412953
644,1348766511,615370988,1348766511,614224879
645,1348766511,681911945,1348766511,680806774
646,1348766511,748636960,1348766511,747436613
647,1348766511,815078020,1348766511,814243181
648,1348766511,881937980,1348766511,880813363
649,1348766511,948554039,1348766511,947439697
650,1348766512,15517950,1348766512,14323409
651,1348766512,82012891,1348766512,80813851
652,1348766512,148253917,1348766512,147403863
653,1348766512,215513944,1348766512,214300726
654,1348766512,281873941,1348766512,280781394
655,1348766512,348356962,1348766512,347437885
656,1348766512,415277004,1348766512,414202966
657,1348766512,481873035,1348766512,480787457
658,1348766512,548660039,1348766512,547438512
659,1348766512,615093946,1348766512,614168753
660,1348766512,681920051,1348766512,680812194
661,1348766512,748256921,1348766512,747409151
662,1348766512,815325021,1348766512,814207302
663,1348766512,881953954,1348766512,880810436
664,1348766512,948576927,1348766512,947411075
665,1348766513,15500068,1348766513,14272947
666,1348766513,81821918,1348766513,80792774
667,1348766513,148593902,1348766513,147435992
668,1348766513,215029954,1348766513,214188935
669,1348766513,281791925,1348766513,280842969
670,1348766513,348628044,1348766513,347434862
671,1348766513,415359973,1348766513,414190647
672,1348766513,481945037,1348766513,480814887
673,1348766513,548593044,1348766513,547438118
674,1348766513,615004062,1348766513,614194242
675,1348766513,681936025,1348766513,680842847
676,1348766513,748591899,1348766513,747442911
677,1348766513,815397977,1348766513,814206193
678,1348766513,881988048,1348766513,880835311
679,1348766513,948265075,1348766513,947438308
680,1348766514,15252113,1348766514,14257412
681,1348766514,81844091,1348766514,80839049
682,1348766514,148597002,1348766514,147412009
683,1348766514,215342998,1348766514,214242011
684,1348766514,281837940,1348766514,280812383
685,1348766514,348613023,1348766514,347435358
686,1348766514,415337085,1348766514,414224867
687,1348766514,481935024,1348766514,480838570
688,1348766514,548593997,1348766514,547408528
689,1348766514,615391016,1348766514,614245778
690,1348766514,681638956,1348766514,680817599
